time,average_grade,action_done,best_grade_found,iterations_without_improvement
2025-01-17 12:34:54,95.0,added grade number 1 on loop 1 of grade 95 to verse MAT 1:1,0,0
2025-01-17 12:34:56,95.0,added grade number 2 on loop 1 of grade 95 to verse MAT 1:1,0,0
2025-01-17 12:34:57,93.33333333333333,added grade number 3 on loop 1 of grade 90 to verse MAT 1:1,0,0
2025-01-17 12:34:59,93.75,added grade number 4 on loop 1 of grade 95 to verse MAT 1:1,0,0
2025-01-17 12:35:01,94.0,added grade number 5 on loop 1 of grade 95 to verse MAT 1:1,0,0
2025-01-17 12:35:02,94.16666666666667,added grade number 6 on loop 1 of grade 95 to verse MAT 1:1,0,0
2025-01-17 12:35:04,94.58333333333334,added grade number 1 on loop 1 of grade 95 to verse MAT 1:2,0,0
2025-01-17 12:35:05,94.58333333333334,added grade number 2 on loop 1 of grade 95 to verse MAT 1:2,0,0
2025-01-17 12:35:07,94.58333333333334,added grade number 3 on loop 1 of grade 95 to verse MAT 1:2,0,0
2025-01-17 12:35:09,94.58333333333334,added grade number 4 on loop 1 of grade 95 to verse MAT 1:2,0,0
2025-01-17 12:35:10,94.58333333333334,added grade number 5 on loop 1 of grade 95 to verse MAT 1:2,0,0
2025-01-17 12:35:12,94.33333333333334,added grade number 6 on loop 1 of grade 92 to verse MAT 1:2,0,0
2025-01-17 12:35:14,94.55555555555556,added grade number 1 on loop 1 of grade 95 to verse MAT 1:3,0,0
2025-01-17 12:35:16,94.55555555555556,added grade number 2 on loop 1 of grade 95 to verse MAT 1:3,0,0
2025-01-17 12:35:18,93.44444444444446,added grade number 3 on loop 1 of grade 85 to verse MAT 1:3,0,0
2025-01-17 12:35:19,93.47222222222223,added grade number 4 on loop 1 of grade 92 to verse MAT 1:3,0,0
2025-01-17 12:35:21,93.68888888888891,added grade number 5 on loop 1 of grade 95 to verse MAT 1:3,0,0
2025-01-17 12:35:23,93.55555555555556,added grade number 6 on loop 1 of grade 90 to verse MAT 1:3,0,0
2025-01-17 12:35:26,93.91666666666667,added grade number 1 on loop 1 of grade 95 to verse MAT 1:4,0,0
2025-01-17 12:35:27,93.91666666666667,added grade number 2 on loop 1 of grade 95 to verse MAT 1:4,0,0
2025-01-17 12:35:29,93.5,added grade number 3 on loop 1 of grade 90 to verse MAT 1:4,0,0
2025-01-17 12:35:30,93.29166666666667,added grade number 4 on loop 1 of grade 90 to verse MAT 1:4,0,0
2025-01-17 12:35:32,93.16666666666667,added grade number 5 on loop 1 of grade 90 to verse MAT 1:4,0,0
2025-01-17 12:35:33,93.29166666666667,added grade number 6 on loop 1 of grade 95 to verse MAT 1:4,0,0
2025-01-17 12:35:36,93.63333333333334,added grade number 1 on loop 1 of grade 95 to verse MAT 1:5,0,0
2025-01-17 12:35:37,93.63333333333334,added grade number 2 on loop 1 of grade 95 to verse MAT 1:5,0,0
2025-01-17 12:35:40,93.3,added grade number 3 on loop 1 of grade 90 to verse MAT 1:5,0,0
2025-01-17 12:35:42,93.38333333333334,added grade number 4 on loop 1 of grade 95 to verse MAT 1:5,0,0
2025-01-17 12:35:44,93.31333333333335,added grade number 5 on loop 1 of grade 92 to verse MAT 1:5,0,0
2025-01-17 12:37:41,93.36666666666667,added grade number 6 on loop 1 of grade 95 to verse MAT 1:5,0,0
2025-01-17 12:39:00,92.80555555555556,added grade number 1 on loop 1 of grade 90 to verse MAT 1:6,0,0
2025-01-17 12:39:09,92.97222222222223,added grade number 2 on loop 1 of grade 92 to verse MAT 1:6,0,0
2025-01-17 12:39:11,93.19444444444446,added grade number 3 on loop 1 of grade 95 to verse MAT 1:6,0,0
2025-01-17 12:39:13,93.30555555555556,added grade number 4 on loop 1 of grade 95 to verse MAT 1:6,0,0
2025-01-17 12:39:16,93.20555555555556,added grade number 5 on loop 1 of grade 90 to verse MAT 1:6,0,0
2025-01-17 12:39:19,93.27777777777779,added grade number 6 on loop 1 of grade 95 to verse MAT 1:6,0,0
2025-01-17 12:39:21,92.80952380952382,added grade number 1 on loop 1 of grade 90 to verse MAT 1:7,0,0
2025-01-17 12:39:22,93.16666666666667,added grade number 2 on loop 1 of grade 95 to verse MAT 1:7,0,0
2025-01-17 12:39:24,93.04761904761905,added grade number 3 on loop 1 of grade 90 to verse MAT 1:7,0,0
2025-01-17 12:39:29,92.80952380952382,added grade number 4 on loop 1 of grade 85 to verse MAT 1:7,0,0
2025-01-17 12:39:31,92.95238095238096,added grade number 5 on loop 1 of grade 95 to verse MAT 1:7,0,0
2025-01-17 12:39:33,92.97619047619048,added grade number 6 on loop 1 of grade 92 to verse MAT 1:7,0,0
2025-01-17 12:39:35,92.60416666666667,added grade number 1 on loop 1 of grade 90 to verse MAT 1:8,0,0
2025-01-17 12:39:36,92.91666666666667,added grade number 2 on loop 1 of grade 95 to verse MAT 1:8,0,0
2025-01-17 12:39:38,93.02083333333334,added grade number 3 on loop 1 of grade 95 to verse MAT 1:8,0,0
2025-01-17 12:39:40,92.76041666666667,added grade number 4 on loop 1 of grade 85 to verse MAT 1:8,0,0
2025-01-17 12:39:42,92.77916666666667,added grade number 5 on loop 1 of grade 92 to verse MAT 1:8,0,0
2025-01-17 12:39:44,92.85416666666667,added grade number 6 on loop 1 of grade 95 to verse MAT 1:8,0,0
2025-01-17 12:39:47,93.0925925925926,added grade number 1 on loop 1 of grade 95 to verse MAT 1:9,0,0
2025-01-17 12:39:49,93.0925925925926,added grade number 2 on loop 1 of grade 95 to verse MAT 1:9,0,0
2025-01-17 12:39:52,93.0925925925926,added grade number 3 on loop 1 of grade 95 to verse MAT 1:9,0,0
2025-01-17 12:39:54,93.0925925925926,added grade number 4 on loop 1 of grade 95 to verse MAT 1:9,0,0
2025-01-17 12:39:57,93.0925925925926,added grade number 5 on loop 1 of grade 95 to verse MAT 1:9,0,0
2025-01-17 12:40:03,93.0925925925926,added grade number 6 on loop 1 of grade 95 to verse MAT 1:9,0,0
2025-01-17 12:40:05,93.28333333333333,added grade number 1 on loop 1 of grade 95 to verse MAT 1:10,0,0
2025-01-17 12:40:06,93.28333333333333,added grade number 2 on loop 1 of grade 95 to verse MAT 1:10,0,0
2025-01-17 12:40:08,93.28333333333333,added grade number 3 on loop 1 of grade 95 to verse MAT 1:10,0,0
2025-01-17 12:40:10,93.28333333333333,added grade number 4 on loop 1 of grade 95 to verse MAT 1:10,0,0
2025-01-17 12:40:11,93.08333333333334,added grade number 5 on loop 1 of grade 85 to verse MAT 1:10,0,0
2025-01-17 12:40:14,93.11666666666667,added grade number 6 on loop 1 of grade 95 to verse MAT 1:10,0,0
2025-01-17 12:40:15,93.2878787878788,added grade number 1 on loop 1 of grade 95 to verse MAT 1:11,0,0
2025-01-17 12:40:17,93.15151515151516,added grade number 2 on loop 1 of grade 92 to verse MAT 1:11,0,0
2025-01-17 12:40:19,93.04545454545456,added grade number 3 on loop 1 of grade 90 to verse MAT 1:11,0,0
2025-01-17 12:40:21,92.99242424242425,added grade number 4 on loop 1 of grade 90 to verse MAT 1:11,0,0
2025-01-17 12:40:23,93.05151515151516,added grade number 5 on loop 1 of grade 95 to verse MAT 1:11,0,0
2025-01-17 12:40:25,92.98484848484848,added grade number 6 on loop 1 of grade 88 to verse MAT 1:11,0,0
2025-01-17 12:40:27,93.15277777777779,added grade number 1 on loop 1 of grade 95 to verse MAT 1:12,0,0
2025-01-17 12:40:29,92.73611111111113,added grade number 2 on loop 1 of grade 85 to verse MAT 1:12,0,0
2025-01-17 12:40:31,92.875,added grade number 3 on loop 1 of grade 95 to verse MAT 1:12,0,0
2025-01-17 12:40:33,92.84027777777779,added grade number 4 on loop 1 of grade 90 to verse MAT 1:12,0,0
2025-01-17 12:40:34,92.90277777777779,added grade number 5 on loop 1 of grade 95 to verse MAT 1:12,0,0
2025-01-17 12:40:37,92.94444444444446,added grade number 6 on loop 1 of grade 95 to verse MAT 1:12,0,0
2025-01-17 12:40:40,93.10256410256412,added grade number 1 on loop 1 of grade 95 to verse MAT 1:13,0,0
2025-01-17 12:40:41,93.10256410256412,added grade number 2 on loop 1 of grade 95 to verse MAT 1:13,0,0
2025-01-17 12:40:43,93.10256410256412,added grade number 3 on loop 1 of grade 95 to verse MAT 1:13,0,0
2025-01-17 12:40:44,93.10256410256412,added grade number 4 on loop 1 of grade 95 to verse MAT 1:13,0,0
2025-01-17 12:40:46,93.10256410256412,added grade number 5 on loop 1 of grade 95 to verse MAT 1:13,0,0
2025-01-17 12:40:48,93.10256410256412,added grade number 6 on loop 1 of grade 95 to verse MAT 1:13,0,0
2025-01-17 12:40:51,93.23809523809526,added grade number 1 on loop 1 of grade 95 to verse MAT 1:14,0,0
2025-01-17 12:40:53,93.05952380952382,added grade number 2 on loop 1 of grade 90 to verse MAT 1:14,0,0
